,line,station_name,year_opened,is_interchange
0,DT,MRT-BUKIT PANJANG ,2015-12,0
1,DT,MRT-CASHEW ,2015-12,0
2,DT,MRT-HILLVIEW ,2015-12,0
3,DT,MRT-BEAUTY WORLD ,2015-12,0
4,DT,MRT-KING ALBERT PARK ,2015-12,0
5,DT,MRT-SIXTH AVENUE ,2015-12,0
6,DT,MRT-TAN KAH KEE ,2015-12,0
7,DT,MRT-BOTANIC GARDENS ,2015-12,1
8,DT,MRT-STEVENS ,2015-12,0
9,DT,MRT-NEWTON ,2015-12,1
10,DT,MRT-LITTLE INDIA ,2015-12,1
11,DT,MRT-ROCHOR ,2015-12,0
12,DT,MRT-BUGIS ,2013-12,1
13,DT,MRT-PROMENADE ,2013-12,1
14,DT,MRT-BAYFRONT ,2013-12,1
15,DT,MRT-DOWNTOWN ,2013-12,0
16,DT,MRT-TELOK AYER ,2013-12,0
17,DT,MRT-CHINATOWN ,2013-12,1
18,DT,MRT-FORT CANNING ,2017-10,0
19,DT,MRT-BENCOOLEN ,2017-10,0
20,DT,MRT-JALAN BESAR ,2017-10,0
21,DT,MRT-BENDEEMER ,2017-10,0
22,DT,MRT-GEYLANG BAHRU ,2017-10,0
23,DT,MRT-MATTAR ,2017-10,0
24,DT,MRT-MACPHERSON ,2017-10,1
25,DT,MRT-UBI ,2017-10,0
26,DT,MRT-KAKI BUKIT ,2017-10,0
27,DT,MRT-BEDOK NORTH ,2017-10,0
28,DT,MRT-BEDOK RESERVOIR ,2017-10,0
29,DT,MRT-TAMPINES WEST ,2017-10,0
30,DT,MRT-TAMPINES ,2017-10,0
31,DT,MRT-TAMPINES EAST ,2017-10,0
32,DT,MRT-UPPER CHANGI ,2017-10,0
33,DT,MRT-EXPO ,2017-10,1
34,CG,MRT-EXPO ,2001-01,1
35,CG,MRT-CHANGI AIRPORT ,2002-02,0
36,EW,MRT-PASIR RIS ,1987-11,0
37,EW,MRT-TAMPINES ,1987-11,1
38,EW,MRT-SIMEI ,1987-11,0
39,EW,MRT-TANAH MERAH ,1987-11,1
40,EW,MRT-BEDOK ,1987-11,0
41,EW,MRT-KEMBANGAN ,1987-11,0
42,EW,MRT-EUNOS ,1987-11,0
43,EW,MRT-PAYA LEBAR ,1987-11,1
44,EW,MRT-ALJUNIED ,1987-11,0
45,EW,MRT-KALLANG ,1987-11,0
46,EW,MRT-LAVENDER ,1987-11,0
47,EW,MRT-BUGIS ,1987-11,1
48,EW,MRT-CITY HALL ,1987-11,1
49,EW,MRT-RAFFLES PLACE ,1987-11,1
50,EW,MRT-TANJONG PAGAR ,1987-11,0
51,EW,MRT-OUTRAM PARK ,1987-11,1
52,EW,MRT-TIONG BAHRU ,1987-11,0
53,EW,MRT-REDHILL ,1987-11,0
54,EW,MRT-QUEENSTOWN ,1987-11,0
55,EW,MRT-COMMONWEALTH ,1987-11,0
56,EW,MRT-BUONA VISTA ,1987-11,0
57,EW,MRT-DOVER ,1987-11,0
58,EW,MRT-CLEMENTI ,1987-11,0
59,EW,MRT-JURONG EAST ,1987-11,1
60,EW,MRT-CHINESE GARDEN ,1987-11,0
61,EW,MRT-LAKESIDE ,1987-11,0
62,EW,MRT-BOON LAY ,1987-11,0
63,EW,MRT-PIONEER ,2009-02,0
64,EW,MRT-JOO KOON ,2009-02,0
65,EW,MRT-GUL CIRCLE ,2017-06,0
66,EW,MRT-TUAS CRESCENT ,2017-06,0
67,EW,MRT-TUAS WEST ROAD ,2017-06,0
68,EW,MRT-TUAS LINK ,2017-06,0
69,NS,MRT-JURONG EAST ,1990-03,1
70,NS,MRT-BUKIT BATOK ,1990-03,0
71,NS,MRT-BUKIT GOMBAK ,1990-03,0
72,NS,MRT-CHOA CHU KANG ,1990-03,0
73,NS,MRT-YEW TEE ,1996-02,0
74,NS,MRT-KRANJI ,1996-02,0
75,NS,MRT-MARSILING ,1996-02,0
76,NS,MRT-WOODLANDS ,1996-02,0
