,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
9,RAFFLES GIRLS' PRIMARY SCHOOL,1.32940426000123,103.806442915912,No,No,Yes,No
10,ROSYTH SCHOOL,1.37289067499066,103.875001549174,No,No,Yes,No
15,HENRY PARK PRIMARY SCHOOL,1.31667646178349,103.784296227747,No,No,Yes,No
148,RAFFLES GIRLS' SCHOOL (SECONDARY),1.3116950282779198,103.82895958573299,No,No,Yes,Yes
149,RAFFLES INSTITUTION,1.34595888574312,103.841527553164,No,No,Yes,Yes
153,VICTORIA SCHOOL,1.30830803913152,103.92819753960698,No,Yes,Yes,Yes
195,DUNMAN HIGH SCHOOL,1.2999619028407299,103.882941559613,Yes,Yes,Yes,Yes
263,ST. HILDA'S PRIMARY SCHOOL,1.349711,103.93611700000001,No,No,Yes,No
272,TAO NAN SCHOOL,1.30528528687323,103.911553152326,Yes,No,Yes,No
273,NANYANG PRIMARY SCHOOL,1.32084749904534,103.807750155296,Yes,No,Yes,No
279,NAN HUA PRIMARY SCHOOL,1.319624,103.761507,Yes,No,Yes,No
287,ANGLO-CHINESE SCHOOL (PRIMARY),1.31837054550897,103.835609732082,No,No,Yes,No
288,ANGLO-CHINESE SCHOOL (INDEPENDENT),1.30370409257786,103.780363417671,No,No,Yes,Yes
312,CATHOLIC HIGH SCHOOL,1.3547230747166399,103.844874676599,Yes,Yes,Yes,Yes
318,NANYANG GIRLS' HIGH SCHOOL,1.33058326666481,103.80242097994301,Yes,No,Yes,Yes
