,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
0,NATIONAL JUNIOR COLLEGE,1.33029291072176,103.80411090542499,No,No,No,Yes
1,TEMASEK JUNIOR COLLEGE,1.3184928302783798,103.935567309385,No,No,No,Yes
2,HWA CHONG INSTITUTION,1.32588867455555,103.800747204253,Yes,No,No,Yes
144,CEDAR GIRLS' SECONDARY SCHOOL,1.3337580021633701,103.87393306407,No,Yes,No,Yes
148,RAFFLES GIRLS' SCHOOL (SECONDARY),1.3116950282779198,103.82895958573299,No,No,Yes,Yes
149,RAFFLES INSTITUTION,1.34595888574312,103.841527553164,No,No,Yes,Yes
153,VICTORIA SCHOOL,1.30830803913152,103.92819753960698,No,Yes,Yes,Yes
195,DUNMAN HIGH SCHOOL,1.2999619028407299,103.882941559613,Yes,Yes,Yes,Yes
196,RIVER VALLEY HIGH SCHOOL,1.34407801177096,103.70902215589199,Yes,Yes,No,Yes
288,ANGLO-CHINESE SCHOOL (INDEPENDENT),1.30370409257786,103.780363417671,No,No,Yes,Yes
294,SINGAPORE CHINESE GIRLS' SCHOOL,1.3210450823681101,103.82819211996099,No,No,No,Yes
299,SAINT JOSEPH'S INSTITUTION,1.32365313490153,103.82849897498501,No,No,No,Yes
308,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.35096755912523,103.885120050588,No,No,No,Yes
312,CATHOLIC HIGH SCHOOL,1.3547230747166399,103.844874676599,Yes,Yes,Yes,Yes
318,NANYANG GIRLS' HIGH SCHOOL,1.33058326666481,103.80242097994301,Yes,No,Yes,Yes
319,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.37347687878919,103.83425326943599,Yes,Yes,No,Yes
326,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,1.30615665859434,103.770148255807,No,No,No,Yes
