,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
141,ANDERSON SECONDARY SCHOOL,1.37434001701182,103.85155410706801,No,Yes,No,No
144,CEDAR GIRLS' SECONDARY SCHOOL,1.3337580021633701,103.87393306407,No,Yes,No,Yes
145,CRESCENT GIRLS' SCHOOL,1.29331947049732,103.817544461483,No,Yes,No,No
151,COMMONWEALTH SECONDARY SCHOOL,1.31920395934804,103.745637393049,No,Yes,No,No
152,TANJONG KATONG GIRLS' SCHOOL,1.3082127462728799,103.895820094229,No,Yes,No,No
153,VICTORIA SCHOOL,1.30830803913152,103.92819753960698,No,Yes,Yes,Yes
162,TEMASEK SECONDARY SCHOOL,1.31591673150617,103.947564112294,No,Yes,No,No
169,YISHUN TOWN SECONDARY SCHOOL,1.4323215671738703,103.83809422636101,No,Yes,No,No
171,NAN HUA HIGH SCHOOL,1.30809499133647,103.768561208485,Yes,Yes,No,No
173,XINMIN SECONDARY SCHOOL,1.37255884700005,103.88305161385,No,Yes,No,No
195,DUNMAN HIGH SCHOOL,1.2999619028407299,103.882941559613,Yes,Yes,Yes,Yes
196,RIVER VALLEY HIGH SCHOOL,1.34407801177096,103.70902215589199,Yes,Yes,No,Yes
200,BUKIT PANJANG GOVT. HIGH SCHOOL,1.382108,103.738613,No,Yes,No,No
201,DUNMAN SECONDARY SCHOOL,1.36065258559016,103.95621332058201,No,Yes,No,No
216,ZHONGHUA SECONDARY SCHOOL,1.3484072084621102,103.869430481414,No,Yes,No,No
226,TANJONG KATONG SECONDARY SCHOOL,1.3087351581847702,103.89722519592699,No,Yes,No,No
290,CHIJ SECONDARY (TOA PAYOH),1.3324607994830602,103.843271625083,No,Yes,No,No
292,CHIJ KATONG CONVENT,1.30644253773365,103.91714436743,No,Yes,No,No
296,SAINT ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1.33466313498858,103.94197716693199,No,Yes,No,No
300,SAINT MARGARET'S SECONDARY SCHOOL,1.32006821363365,103.80995114006001,No,Yes,No,No
304,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.35096755912523,103.885120050588,No,Yes,No,No
311,ANGLICAN HIGH SCHOOL,1.33118040459547,103.94185792543699,Yes,Yes,No,No
312,CATHOLIC HIGH SCHOOL,1.3547230747166399,103.844874676599,Yes,Yes,Yes,Yes
313,CHUNG CHENG HIGH SCHOOL (MAIN),1.30509154753049,103.89165322937299,Yes,Yes,No,No
316,MARIS STELLA HIGH SCHOOL,1.34139473351042,103.87785248470699,Yes,Yes,No,No
319,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.37347687878919,103.83425326943599,Yes,Yes,No,Yes
323,FAIRFIELD METHODIST SCHOOL (SECONDARY),1.30163374395825,103.78409964714899,No,Yes,No,No
324,NGEE ANN SECONDARY SCHOOL,1.35447463979295,103.956746315713,No,Yes,No,No
