,carpark_name,carpark_latitude,carpark_longitude
0,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1.3010632720874935,103.85411804993093
1,BLK 98A ALJUNIED CRESCENT,1.321004290105958,103.88506094761526
2,BLK 101 JALAN DUSUN,1.3282834951094042,103.84461988914597
3,BLOCK 253 ANG MO KIO STREET 21,1.369091216143557,103.83498485034086
4,BLK 302/348 ANG MO KIO ST 31,1.3661204243173264,103.84663563161604
5,BLOCK 513 ANG MO KIO ST 53,1.3724386334422438,103.85029569742512
6,BLOCK 728 ANG MO KIO AVE 6,1.374835929453353,103.84485384156172
7,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,1.3766782086821612,103.86384511310713
8,ANG MO KIO AVENUE 9,1.3835990576551416,103.84836808665371
9,BLK 256A ANG MO KIO STREET 21,1.3703498012136093,103.83571828515707
10,BLK 308C ANG MO KIO AVE 1,1.3655400127862602,103.84461939021944
11,BLK 260 ANG MO KIO ST 21,1.3688861979339517,103.83453102382236
12,BLK 309B ANG MO KIO ST 31,1.3646977329371157,103.84608858611787
13,BLK 316B ANG MO KIO STREET 31,1.3645882914751233,103.84765302635255
14,BLK 255A ANG MO KIO ST 21,1.3705325244610682,103.8343768155435
15,BLK 455 ANG MO KIO ST 44,1.3686107186719911,103.85730354666772
16,BLK 588 ANG MO KIO STREET 52,1.3721783233233986,103.85339638441636
17,BLK 700 ANG MO KIO AVE 6,1.36991500171885,103.84669851649707
18,BLK 590 ANG MO KIO ST 51,1.3714570202946887,103.8530982460575
19,BLK 596 ANG MO KIO STREEET 52,1.3723282292064205,103.85132794564865
20,BLK 130A ANG MO KIO ST 12,1.3706469901715552,103.84186149048293
21,BLK 132A ANG MO KIO ST 12,1.3716392420558625,103.84194781252431
22,BLK 352A ANG MO KIO STREET 32,1.3640741492788182,103.85094037122893
23,3 AND 5 DOVER ROAD,1.3038767185244542,103.78263177920367
24,BLK 2A DOVER ROAD,1.3028486840208213,103.7836667743235
25,BLK 26 AND 27 DOVER CRESCENT,1.305913234462207,103.7811546551739
26,BLK 28 DOVER CRESCENT,1.3047388928304118,103.78167448932494
27,BLK 19A DOVER CRESCENT,1.3073435265931934,103.78446333008445
28,12 TO 14 DOVER CLOSE EAST,1.305807720561868,103.78559113657052
29,BLK 12A DOVER CLOSE EAST,1.3047713772680514,103.78519200383909
30,BLK 20/22/23 DOVER CRESCENT,1.3072843627095632,103.78343964059559
