,Address,Latitude,Longitude
0,BUKIT PANJANG  MRT STATION SINGAPORE,1.2760684,103.7919037
1,CASHEW  MRT STATION SINGAPORE,1.3699756,103.7645794
2,HILLVIEW  MRT STATION SINGAPORE,1.3630377,103.7674128
3,BEAUTY WORLD  MRT STATION SINGAPORE,1.3415532,103.7757466
4,KING ALBERT PARK  MRT STATION SINGAPORE,1.3356884,103.7831926
5,SIXTH AVENUE  MRT STATION SINGAPORE,1.3311776,103.7972016
6,TAN KAH KEE  MRT STATION SINGAPORE,1.3257996,103.8079556
7,BOTANIC GARDENS  MRT STATION SINGAPORE,1.3223117,103.8149268
8,STEVENS  MRT STATION SINGAPORE,1.3199584,103.8259427
9,NEWTON  MRT STATION SINGAPORE,1.3137897,103.8377317
10,LITTLE INDIA  MRT STATION SINGAPORE,1.3066479,103.8494066
11,ROCHOR  MRT STATION SINGAPORE,1.3035362,103.8525596
12,BUGIS  MRT STATION SINGAPORE,1.3006608,103.8558619
13,PROMENADE  MRT STATION SINGAPORE,1.2939988,103.8601773
14,BAYFRONT  MRT STATION SINGAPORE,1.2813386,103.8589551
15,DOWNTOWN  MRT STATION SINGAPORE,1.2794576,103.8528128
16,TELOK AYER  MRT STATION SINGAPORE,1.282221,103.8485947
17,CHINATOWN  MRT STATION SINGAPORE,1.2844913,103.8435939
18,FORT CANNING  MRT STATION SINGAPORE,1.2915769,103.8446317
19,BENCOOLEN  MRT STATION SINGAPORE,1.2984552,103.8499729
20,JALAN BESAR  MRT STATION SINGAPORE,1.3055083,103.8554325
21,BENDEEMER  MRT STATION SINGAPORE,1.3136206,103.8630656
22,GEYLANG BAHRU  MRT STATION SINGAPORE,1.3214143,103.8714786
23,MATTAR  MRT STATION SINGAPORE,1.3268461,103.8833045
24,MACPHERSON  MRT STATION SINGAPORE,1.3267049,103.8898898
25,UBI  MRT STATION SINGAPORE,1.3299231,103.8989327
26,KAKI BUKIT  MRT STATION SINGAPORE,1.334927,103.909016
27,BEDOK NORTH  MRT STATION SINGAPORE,1.3351391,103.918397
28,BEDOK RESERVOIR  MRT STATION SINGAPORE,1.3365418,103.9330942
29,TAMPINES WEST  MRT STATION SINGAPORE,1.345508,103.9382436
30,TAMPINES  MRT STATION SINGAPORE,1.3544303,103.94276
31,TAMPINES EAST  MRT STATION SINGAPORE,1.3563083,103.9546511
32,UPPER CHANGI  MRT STATION SINGAPORE,1.3416323,103.9614569
33,EXPO  MRT STATION SINGAPORE,1.3344041,103.9614807
34,EXPO  MRT STATION SINGAPORE,1.3344041,103.9614807
35,CHANGI AIRPORT  MRT STATION SINGAPORE,1.3576001,103.9884873
36,PASIR RIS  MRT STATION SINGAPORE,1.3731912,103.9493534
37,TAMPINES  MRT STATION SINGAPORE,1.3544303,103.94276
38,SIMEI  MRT STATION SINGAPORE,1.34312,103.9534285
39,TANAH MERAH  MRT STATION SINGAPORE,1.3272444,103.9464897
40,BEDOK  MRT STATION SINGAPORE,1.3240113,103.9301725
41,KEMBANGAN  MRT STATION SINGAPORE,1.3209998,103.9129039
42,EUNOS  MRT STATION SINGAPORE,1.3197342,103.9028883
43,PAYA LEBAR  MRT STATION SINGAPORE,1.3181607,103.8931436
44,ALJUNIED  MRT STATION SINGAPORE,1.3163668,103.8827723
45,KALLANG  MRT STATION SINGAPORE,1.3114784,103.8713507
46,LAVENDER  MRT STATION SINGAPORE,1.3074261,103.862848
47,BUGIS  MRT STATION SINGAPORE,1.3006608,103.8558619
48,CITY HALL  MRT STATION SINGAPORE,1.293076,103.8520677
49,RAFFLES PLACE  MRT STATION SINGAPORE,1.2839687,103.8515395
50,TANJONG PAGAR  MRT STATION SINGAPORE,1.2763419,103.8467924
51,OUTRAM PARK  MRT STATION SINGAPORE,1.2802438,103.8394591
