,Address,Latitude,Longitude
0,MRT-BUKIT PANJANG ,4.39001,98.05636
1,MRT-CASHEW ,52.51632,-7.88883
2,MRT-HILLVIEW ,52.61114,-7.95609
3,MRT-BEAUTY WORLD ,,
4,MRT-KING ALBERT PARK ,,
5,MRT-SIXTH AVENUE ,,
6,MRT-TAN KAH KEE ,,
7,MRT-BOTANIC GARDENS ,-21.16104,149.15815
8,MRT-STEVENS ,46.2016,-123.96076
9,MRT-NEWTON ,55.34195,-1.73026
10,MRT-LITTLE INDIA ,31.50577,75.48925
11,MRT-ROCHOR ,,
12,MRT-BUGIS ,,
13,MRT-PROMENADE ,,
14,MRT-BAYFRONT ,35.36782,-120.85359
15,MRT-DOWNTOWN ,,
16,MRT-TELOK AYER ,,
17,MRT-CHINATOWN ,44.88657,-113.20468
18,MRT-FORT CANNING ,,
19,MRT-BENCOOLEN ,,
20,MRT-JALAN BESAR ,1.30711,103.85842
21,MRT-BENDEEMER ,,
22,MRT-GEYLANG BAHRU ,,
23,MRT-MATTAR ,,
24,MRT-MACPHERSON ,,
25,MRT-UBI ,,
26,MRT-KAKI BUKIT ,,
27,MRT-BEDOK NORTH ,,
28,MRT-BEDOK RESERVOIR ,,
29,MRT-TAMPINES WEST ,,
30,MRT-TAMPINES ,,
31,MRT-TAMPINES EAST ,,
32,MRT-UPPER CHANGI ,30.16294,77.70315
33,MRT-EXPO ,,
34,MRT-EXPO ,,
35,MRT-CHANGI AIRPORT ,1.34548,103.98339
36,MRT-PASIR RIS ,,
37,MRT-TAMPINES ,,
38,MRT-SIMEI ,,
39,MRT-TANAH MERAH ,-0.42596,117.22416
40,MRT-BEDOK ,,
41,MRT-KEMBANGAN ,,
42,MRT-EUNOS ,,
43,MRT-PAYA LEBAR ,,
44,MRT-ALJUNIED ,,
45,MRT-KALLANG ,,
46,MRT-LAVENDER ,,
47,MRT-BUGIS ,,
48,MRT-CITY HALL ,,
49,MRT-RAFFLES PLACE ,,
50,MRT-TANJONG PAGAR ,1.27889,103.8454
51,MRT-OUTRAM PARK ,,
52,MRT-TIONG BAHRU ,1.28953,103.83209
53,MRT-REDHILL ,34.44837,-83.2677
54,MRT-QUEENSTOWN ,52.29362,-6.49153
55,MRT-COMMONWEALTH ,,
56,MRT-BUONA VISTA ,,
57,MRT-DOVER ,42.78504,-80.20126
58,MRT-CLEMENTI ,53.68668,-132.16906
59,MRT-JURONG EAST ,,
60,MRT-CHINESE GARDEN ,,
61,MRT-LAKESIDE ,48.01788,-114.22468
62,MRT-BOON LAY ,,
63,MRT-PIONEER ,46.00373,-112.53361
64,MRT-JOO KOON ,,
65,MRT-GUL CIRCLE ,,
66,MRT-TUAS CRESCENT ,,
67,MRT-TUAS WEST ROAD ,,
68,MRT-TUAS LINK ,,
69,MRT-JURONG EAST ,,
70,MRT-BUKIT BATOK ,1.34952,103.75278
71,MRT-BUKIT GOMBAK ,,
72,MRT-CHOA CHU KANG ,1.38616,103.74619
73,MRT-YEW TEE ,,
74,MRT-KRANJI ,,
75,MRT-MARSILING ,,
76,MRT-WOODLANDS ,53.35898,-6.44612
77,MRT-ADMIRALTY ,,
78,MRT-SEMBAWANG ,,
79,MRT-YISHUN ,,
80,MRT-KHATIB ,,
81,MRT-YIO CHU KANG ,1.38798,103.8688
82,MRT-ANG MO KIO ,,
83,MRT-BISHAN ,,
84,MRT-BRADDELL ,,
85,MRT-TOA PAYOH ,,
86,MRT-NOVENA ,,
87,MRT-NEWTON ,55.34195,-1.73026
88,MRT-ORCHARD ,47.54104,-122.63847
89,MRT-SOMERSET ,53.2479,-8.23183
90,MRT-DHOBY GHAUT ,1.29875,103.84801
91,MRT-CITY HALL ,,
92,MRT-RAFFLES PLACE ,,
93,MRT-MARINA BAY ,,
94,MRT-MARINA SOUTH PIER ,,
95,MRT-HARBOURFRONT ,,
96,MRT-TELOK BLANGAH ,1.27509,103.81981
97,MRT-LABRADOR PARK ,44.42686,-109.16449
98,MRT-PASIR PANJANG ,-2.71972,111.65315
99,MRT-HAW PAR VILLA ,,
100,MRT-KENT RIDGE ,,
101,MRT-ONE-NORTH ,,
102,MRT-BUONA VISTA ,,
103,MRT-HOLLAND VILLAGE ,42.76597,-86.14856
104,MRT-FARRER ROAD ,,
105,MRT-BOTANIC GARDENS ,-21.16104,149.15815
106,MRT-CALDECOTT ,52.53254,-0.72236
107,MRT-MARYMOUNT ,53.03624,-7.78741
108,MRT-BISHAN ,,
109,MRT-LORONG CHUAN ,,
110,MRT-SERANGOON ,,
111,MRT-BARTLEY ,,
112,MRT-TAI SENG ,,
113,MRT-MACPHERSON ,,
114,MRT-PAYA LEBAR ,,
115,MRT-DAKOTA ,,
116,MRT-MOUNTBATTEN ,,
117,MRT-STADIUM ,,
118,MRT-NICOLL HIGHWAY ,,
119,MRT-PROMENADE ,,
120,MRT-ESPLANADE ,,
121,MRT-BRAS BASAH ,,
122,MRT-DHOBY GHAUT ,1.29875,103.84801
123,MRT-BAYFRONT ,35.36782,-120.85359
124,MRT-MARINA BAY ,,
125,MRT-HARBOURFRONT ,,
126,MRT-OUTRAM PARK ,,
127,MRT-CHINATOWN ,44.88657,-113.20468
128,MRT-CLARKE QUAY ,1.29131,103.84599
129,MRT-DHOBY GHAUT ,1.29875,103.84801
130,MRT-LITTLE INDIA ,31.50577,75.48925
131,MRT-FARRER PARK ,,
132,MRT-BOON KENG ,,
133,MRT-POTONG PASIR ,,
134,MRT-WOODLEIGH ,,
135,MRT-SERANGOON ,,
136,MRT-KOVAN ,,
137,MRT-HOUGANG ,,
138,MRT-BUANGKOK ,,
139,MRT-SENGKANG ,,
140,MRT-PUNGGOL ,,
