,Address,Latitude,Longitude
0,174 ANG MO KIO AVE 4 Singapore,1.37541,103.8374
1,541 ANG MO KIO AVE 10 Singapore,1.37412,103.85576
2,163 ANG MO KIO AVE 4 Singapore,1.3738700000000001,103.83834
3,446 ANG MO KIO AVE 10 Singapore,1.36794,103.85543
4,557 ANG MO KIO AVE 10 Singapore,1.37145,103.85785
5,603 ANG MO KIO AVE 5 Singapore,1.3804,103.8356
6,709 ANG MO KIO AVE 8 Singapore,1.3709799999999999,103.84766
7,333 ANG MO KIO AVE 1 Singapore,1.36179,103.85214
8,109 ANG MO KIO AVE 4 Singapore,1.3702,103.83819
9,564 ANG MO KIO AVE 3 Singapore,1.3704399999999999,103.8595
10,218 ANG MO KIO AVE 1 Singapore,1.36535,103.84169
11,556 ANG MO KIO AVE 10 Singapore,1.37228,103.85757
12,156 ANG MO KIO AVE 4 Singapore,1.37548,103.84057
13,471 ANG MO KIO AVE 10 Singapore,1.36344,103.85749
14,434 ANG MO KIO AVE 10 Singapore,1.3680299999999999,103.85388
15,560 ANG MO KIO AVE 10 Singapore,1.3706200000000002,103.85906
16,332 ANG MO KIO AVE 1 Singapore,1.36184,103.85207
17,421 ANG MO KIO AVE 10 Singapore,1.36521,103.85304000000001
18,506 ANG MO KIO AVE 8 Singapore,1.3746200000000002,103.84945
19,631 ANG MO KIO AVE 4 Singapore,1.37976,103.84074
20,153 ANG MO KIO AVE 5 Singapore,1.37656,103.84192
21,442 ANG MO KIO AVE 10 Singapore,1.36624,103.85542
22,558 ANG MO KIO AVE 10 Singapore,1.37106,103.85925
23,212 ANG MO KIO AVE 3 Singapore,1.36867,103.8416
24,152 ANG MO KIO AVE 5 Singapore,1.37649,103.84017
25,331 ANG MO KIO AVE 1 Singapore,1.36258,103.85109
26,121 ANG MO KIO AVE 3 Singapore,1.37016,103.84416
27,130 ANG MO KIO AVE 3 Singapore,1.37048,103.84236
28,646 ANG MO KIO AVE 6 Singapore,1.3788,103.84380999999999
29,424 ANG MO KIO AVE 3 Singapore,1.36834,103.85131
30,584 ANG MO KIO AVE 3 Singapore,1.37048,103.85351
31,412 ANG MO KIO AVE 10 Singapore,1.36414,103.85515
32,612 ANG MO KIO AVE 4 Singapore,1.3790799999999999,103.83802
33,562 ANG MO KIO AVE 3 Singapore,1.3704399999999999,103.85891
34,223 ANG MO KIO AVE 1 Singapore,1.36637,103.83757
35,150 ANG MO KIO AVE 5 Singapore,1.37656,103.84192
36,468 ANG MO KIO AVE 10 Singapore,1.3648200000000001,103.85644
37,177 ANG MO KIO AVE 4 Singapore,1.37604,103.83825
38,415 ANG MO KIO AVE 10 Singapore,1.3647,103.85354
39,254 ANG MO KIO AVE 4 Singapore,1.36996,103.83488
40,207 ANG MO KIO AVE 1 Singapore,1.36617,103.8426
41,432 ANG MO KIO AVE 10 Singapore,1.36853,103.85351999999999
42,117 ANG MO KIO AVE 4 Singapore,1.37361,103.83612
43,428 ANG MO KIO AVE 3 Singapore,1.36893,103.85387
44,573 ANG MO KIO AVE 3 Singapore,1.37038,103.85469
45,418 ANG MO KIO AVE 10 Singapore,1.36473,103.85401
46,324 ANG MO KIO AVE 3 Singapore,1.36853,103.84688
47,596B ANG MO KIO ST 52 Singapore,1.37242,103.85051
48,234 ANG MO KIO AVE 3 Singapore,1.36762,103.83709
49,648 ANG MO KIO AVE 5 Singapore,1.37846,103.84411
50,253A ANG MO KIO ST 21 Singapore,1.36973,103.83426999999999
51,439 ANG MO KIO AVE 10 Singapore,1.36636,103.85394000000001
52,306 ANG MO KIO AVE 1 Singapore,1.3657700000000002,103.84541
53,729 ANG MO KIO AVE 6 Singapore,1.37286,103.84583
54,315B ANG MO KIO ST 31 Singapore,1.36432,103.84753
55,700C ANG MO KIO AVE 6 Singapore,1.36933,103.84659
56,620 BEDOK RESERVOIR RD Singapore,1.3340100000000001,103.91790999999999
57,38 BEDOK STH RD Singapore,1.32114,103.93876999999999
58,504 BEDOK NTH ST 3 Singapore,1.33216,103.93231999999999
59,545 BEDOK NTH ST 3 Singapore,1.33033,103.9243
60,546 BEDOK NTH ST 3 Singapore,1.33061,103.92564
61,18 BEDOK STH RD Singapore,1.31992,103.93476
62,550 BEDOK NTH AVE 1 Singapore,1.3323,103.92651
63,502 BEDOK NTH ST 3 Singapore,1.33192,103.9311
64,509 BEDOK NTH ST 3 Singapore,1.33346,103.93111999999999
65,525 BEDOK NTH ST 3 Singapore,1.3344,103.92917
66,534 BEDOK NTH ST 3 Singapore,1.33334,103.92448
67,542 BEDOK NTH ST 3 Singapore,1.33101,103.92321
68,76 BEDOK NTH RD Singapore,1.32816,103.94141
69,709 BEDOK RESERVOIR RD Singapore,1.33561,103.9228
70,703 BEDOK RESERVOIR RD Singapore,1.33705,103.91953000000001
71,27 NEW UPP CHANGI RD Singapore,1.3239,103.93433
72,42 CHAI CHEE ST Singapore,1.32771,103.92579
73,426 BEDOK NTH RD Singapore,1.3297299999999999,103.9284
74,530 BEDOK NTH ST 3 Singapore,1.334,103.92679
75,420 BEDOK NTH ST 1 Singapore,1.32805,103.929
76,105 BEDOK NTH AVE 4 Singapore,1.33408,103.93724
77,519 BEDOK NTH AVE 1 Singapore,1.33107,103.92798
78,548 BEDOK NTH AVE 1 Singapore,1.33107,103.92705
79,537 BEDOK NTH ST 3 Singapore,1.33197,103.92392
80,28 NEW UPP CHANGI RD Singapore,1.32362,103.93437
81,100 BEDOK NTH AVE 4 Singapore,1.33416,103.93813
82,103 BEDOK RESERVOIR RD Singapore,1.32893,103.90959000000001
83,522 BEDOK NTH AVE 1 Singapore,1.33085,103.92692
84,551 BEDOK NTH AVE 1 Singapore,1.33229,103.92685
85,608 BEDOK RESERVOIR RD Singapore,1.33176,103.91371
86,135 BEDOK NTH ST 2 Singapore,1.32854,103.9365
87,40 CHAI CHEE AVE Singapore,1.32602,103.92631999999999
88,57 NEW UPP CHANGI RD Singapore,1.3242399999999999,103.94173
89,401 BEDOK NTH AVE 3 Singapore,1.33043,103.93412
90,2 BEDOK STH AVE 1 Singapore,1.32145,103.93325
91,116 BEDOK NTH RD Singapore,1.33142,103.93729
92,419 BEDOK NTH ST 1 Singapore,1.32735,103.92799000000001
93,107 BEDOK NTH RD Singapore,1.33253,103.93626
94,221B BEDOK CTRL Singapore,1.32491,103.93456
95,219A BEDOK CTRL Singapore,1.3255700000000001,103.93315
96,512 BEDOK NTH AVE 2 Singapore,1.33294,103.92841
97,131 BEDOK RESERVOIR RD Singapore,1.33322,103.91163
98,147 BEDOK RESERVOIR RD Singapore,1.33495,103.91152
99,117 BEDOK NTH RD Singapore,1.33066,103.93748000000001
100,82 BEDOK NTH RD Singapore,1.32934,103.94072
101,121 BEDOK NTH RD Singapore,1.32978,103.93875
102,536 BEDOK NTH ST 3 Singapore,1.33325,103.92316
103,517 BEDOK NTH AVE 2 Singapore,1.33131,103.9292
104,34 BEDOK STH AVE 2 Singapore,1.32246,103.93825
105,6 BEDOK STH AVE 2 Singapore,1.32284,103.93524000000001
106,37 BEDOK STH AVE 2 Singapore,1.3218,103.94021
107,35 BEDOK STH AVE 2 Singapore,1.32274,103.93966
108,724 BEDOK RESERVOIR RD Singapore,1.3370600000000001,103.92877
109,523 BEDOK NTH ST 3 Singapore,1.33459,103.93061999999999
110,65 NEW UPP CHANGI RD Singapore,1.32447,103.93988
111,132 BEDOK NTH ST 2 Singapore,1.3275,103.93670999999999
112,62 NEW UPP CHANGI RD Singapore,1.3231600000000001,103.94
113,428 BEDOK NTH RD Singapore,1.32961,103.92841
114,772 BEDOK RESERVOIR VIEW Singapore,1.33675,103.93796
115,774 BEDOK RESERVOIR VIEW Singapore,1.33677,103.93689
116,768 BEDOK RESERVOIR VIEW Singapore,1.33554,103.93744000000001
117,180 BEDOK NTH RD Singapore,1.32647,103.94059
118,611 BEDOK RESERVOIR RD Singapore,1.33149,103.91535999999999
119,602 BEDOK RESERVOIR RD Singapore,1.32968,103.91163
120,101 BEDOK RESERVOIR RD Singapore,1.32828,103.90926
121,506 BEDOK NTH AVE 3 Singapore,1.3324799999999999,103.93337
122,99 BEDOK NTH AVE 4 Singapore,1.33427,103.94023
123,553 BEDOK NTH AVE 1 Singapore,1.33124,103.92789
124,804 CHAI CHEE RD Singapore,1.32438,103.92204
125,659 JLN TENAGA Singapore,1.33418,103.90638
