,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
2,HWA CHONG INSTITUTION,1.32588867455555,103.800747204253,Yes,No,No,Yes
171,NAN HUA HIGH SCHOOL,1.30809499133647,103.768561208485,Yes,Yes,No,No
195,DUNMAN HIGH SCHOOL,1.2999619028407299,103.882941559613,Yes,Yes,Yes,Yes
196,RIVER VALLEY HIGH SCHOOL,1.34407801177096,103.70902215589199,Yes,Yes,No,Yes
268,KONG HWA SCHOOL,1.31099674009195,103.88835202906701,Yes,No,No,No
271,RED SWASTIKA SCHOOL,1.33324297847733,103.93433231440399,Yes,No,No,No
272,TAO NAN SCHOOL,1.30528528687323,103.911553152326,Yes,No,Yes,No
273,NANYANG PRIMARY SCHOOL,1.32084749904534,103.807750155296,Yes,No,Yes,No
275,MAHA BODHI SCHOOL,1.3284708665838798,103.901298737314,Yes,No,No,No
276,PEI CHUN PUBLIC SCHOOL,1.3333030000000001,103.858963,Yes,No,No,No
277,POI CHING SCHOOL,1.35765122315691,103.935246477199,Yes,No,No,No
279,NAN HUA PRIMARY SCHOOL,1.319624,103.761507,Yes,No,Yes,No
280,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.33805507824253,103.776108247761,Yes,No,No,No
281,AI TONG SCHOOL,1.36058343389044,103.833020333986,Yes,No,No,No
282,HONG WEN SCHOOL,1.32175999964555,103.857628468881,Yes,No,No,No
283,HOLY INNOCENTS' PRIMARY SCHOOL,1.3669383087735,103.894114899795,Yes,No,No,No
311,ANGLICAN HIGH SCHOOL,1.33118040459547,103.94185792543699,Yes,Yes,No,No
312,CATHOLIC HIGH SCHOOL,1.3547230747166399,103.844874676599,Yes,Yes,Yes,Yes
313,CHUNG CHENG HIGH SCHOOL (MAIN),1.30509154753049,103.89165322937299,Yes,Yes,No,No
316,MARIS STELLA HIGH SCHOOL,1.34139473351042,103.87785248470699,Yes,Yes,No,No
317,NAN CHIAU HIGH SCHOOL,1.3887958249840098,103.890004423764,Yes,No,No,No
318,NANYANG GIRLS' HIGH SCHOOL,1.33058326666481,103.80242097994301,Yes,No,Yes,Yes
319,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.37347687878919,103.83425326943599,Yes,Yes,No,Yes
