,search_add,retrieved_name,retrieved_latitude,retrieved_longitude
0,NATIONAL JUNIOR COLLEGE,NATIONAL JUNIOR COLLEGE,1.33029291072176,103.804110905425
1,TEMASEK JUNIOR COLLEGE,TEMASEK JUNIOR COLLEGE,1.31849283027838,103.935567309385
2,HWA CHONG INSTITUTION,HWA CHONG INSTITUTION,1.32588867455555,103.800747204253
3,BUKIT PANJANG PRIMARY SCHOOL,BUKIT PANJANG PRIMARY SCHOOL,1.37362179302439,103.769374904025
4,HAIG GIRLS' SCHOOL,HAIG GIRLS' SCHOOL (U/C),1.31194344271385,103.902902557195
5,TECK WHYE PRIMARY SCHOOL,TECK WHYE PRIMARY SCHOOL,1.38364996834459,103.753291857016
6,JURONG PRIMARY SCHOOL,JURONG PRIMARY SCHOOL,1.3486002031607,103.733156560251
7,QUEENSTOWN PRIMARY SCHOOL,QUEENSTOWN PRIMARY SCHOOL,1.29559365009016,103.807548617332
8,RADIN MAS PRIMARY SCHOOL,RADIN MAS PRIMARY SCHOOL,1.27495823622639,103.824188270373
9,RAFFLES GIRLS' PRIMARY SCHOOL,RAFFLES GIRLS' PRIMARY SCHOOL,1.32940426000123,103.806442915912
10,ROSYTH SCHOOL,ROSYTH SCHOOL,1.37289067499066,103.875001549174
11,DAMAI PRIMARY SCHOOL,DAMAI PRIMARY SCHOOL,1.33546106800408,103.921270169613
12,FUHUA PRIMARY SCHOOL,FUHUA PRIMARY SCHOOL,1.33650394789627,103.736103745748
13,WOODLANDS PRIMARY SCHOOL,WOODLANDS PRIMARY SCHOOL,1.43655108594233,103.791570546509
14,EUNOS PRIMARY SCHOOL,EUNOS PRIMARY SCHOOL,1.32447629876371,103.904541254016
15,HENRY PARK PRIMARY SCHOOL,HENRY PARK PRIMARY SCHOOL,1.31667646178349,103.784296227747
16,BENDEMEER PRIMARY SCHOOL,BENDEMEER PRIMARY SCHOOL,1.32181250780476,103.865404167629
17,CORPORATION PRIMARY SCHOOL,CORPORATION PRIMARY SCHOOL,1.35099779872542,103.707593724614
18,YIO CHU KANG PRIMARY SCHOOL,YIO CHU KANG PRIMARY SCHOOL,1.37793264345278,103.885643682171
19,BLANGAH RISE PRIMARY SCHOOL,BLANGAH RISE PRIMARY SCHOOL,1.27612047869293,103.808628536055
20,ANG MO KIO PRIMARY SCHOOL,ANG MO KIO PRIMARY SCHOOL,1.3693217658461,103.839630858752
21,MAYFLOWER PRIMARY SCHOOL,MAYFLOWER PRIMARY SCHOOL (U/C),1.37637683520311,103.843252803198
22,TECK GHEE PRIMARY SCHOOL,TECK GHEE PRIMARY SCHOOL,1.36558782075971,103.850957126982
23,TEMASEK PRIMARY SCHOOL,TEMASEK PRIMARY SCHOOL,1.31770677551335,103.945590669163
24,SI LING PRIMARY SCHOOL,SI LING PRIMARY SCHOOL,1.43240935732527,103.786035065192
25,JING SHAN PRIMARY SCHOOL,JING SHAN PRIMARY SCHOOL,1.372232909835,103.852132214306
26,YISHUN PRIMARY SCHOOL,YISHUN PRIMARY SCHOOL,1.43338602948303,103.834087115915
27,STAMFORD PRIMARY SCHOOL,STAMFORD PRIMARY SCHOOL,1.3034563846745,103.857453500579
28,FERNVALE PRIMARY SCHOOL,FERNVALE PRIMARY SCHOOL,1.39030227963798,103.874445458032
29,TOWNSVILLE PRIMARY SCHOOL,TOWNSVILLE PRIMARY SCHOOL,1.36003263719251,103.853826048328
30,RULANG PRIMARY SCHOOL,RULANG PRIMARY SCHOOL,1.34673868889098,103.718457955487
31,QIFA PRIMARY SCHOOL,QIFA PRIMARY SCHOOL,1.31325147892085,103.756743208641
32,ZHANGDE PRIMARY SCHOOL,ZHANGDE PRIMARY SCHOOL,1.28421153335382,103.825951875662
33,TAMPINES PRIMARY SCHOOL,TAMPINES PRIMARY SCHOOL,1.34977870805929,103.944004684986
34,CHONGZHENG PRIMARY SCHOOL,CHONGZHENG PRIMARY SCHOOL,1.35070739237745,103.951399541868
35,XINGHUA PRIMARY SCHOOL,XINGHUA PRIMARY SCHOOL,1.35790893608186,103.890465047334
36,JIEMIN PRIMARY SCHOOL,JIEMIN PRIMARY SCHOOL,1.42768620385279,103.830427933344
37,FUCHUN PRIMARY SCHOOL,FUCHUN PRIMARY SCHOOL,1.43047990810127,103.778192944298
38,BUKIT VIEW PRIMARY SCHOOL,BUKIT VIEW PRIMARY SCHOOL,1.34586054842037,103.753665986188
39,CEDAR PRIMARY SCHOOL,CEDAR PRIMARY SCHOOL,1.33558842561171,103.875620790518
40,OPERA ESTATE PRIMARY SCHOOL,OPERA ESTATE PRIMARY SCHOOL,1.3193191443626,103.923788259248
41,RIVER VALLEY PRIMARY SCHOOL,RIVER VALLEY PRIMARY SCHOOL,1.29422328461692,103.835815165829
42,TELOK KURAU PRIMARY SCHOOL,TELOK KURAU PRIMARY SCHOOL,1.3310458544135,103.910934011337
43,YUMIN PRIMARY SCHOOL,YUMIN PRIMARY SCHOOL,1.35129177656982,103.950461927088
44,SHUQUN PRIMARY SCHOOL,SHUQUN PRIMARY SCHOOL,1.34765311431636,103.721523713379
45,GAN ENG SENG PRIMARY SCHOOL,GAN ENG SENG PRIMARY SCHOOL,1.28559516494963,103.815547410064
46,GONGSHANG PRIMARY SCHOOL,GONGSHANG PRIMARY SCHOOL,1.35723721033471,103.949116145623
47,HUAMIN PRIMARY SCHOOL,HUAMIN PRIMARY SCHOOL (U/C),1.42697284512938,103.844240226564
48,XISHAN PRIMARY SCHOOL,XISHAN PRIMARY SCHOOL,1.43347186925066,103.837755319448
49,PRINCESS ELIZABETH PRIMARY SCHOOL,PRINCESS ELIZABETH PRIMARY SCHOOL,1.34920351265302,103.74101964471
50,DAZHONG PRIMARY SCHOOL,DAZHONG PRIMARY SCHOOL,1.35917974472771,103.74847210784
51,BEDOK GREEN PRIMARY SCHOOL,BEDOK GREEN PRIMARY SCHOOL,1.32344593287994,103.937878976352
52,LIANHUA PRIMARY SCHOOL,LIANHUA PRIMARY SCHOOL,1.35424191127296,103.754165828711
53,ZHONGHUA PRIMARY SCHOOL,ZHONGHUA PRIMARY SCHOOL,1.3602032970505,103.869762438084
54,PEIYING PRIMARY SCHOOL,PEIYING PRIMARY SCHOOL,1.41723339695906,103.830417090698
55,KEMING PRIMARY SCHOOL,KEMING PRIMARY SCHOOL,1.34552849960877,103.756449399351
56,CHANGKAT PRIMARY SCHOOL,CHANGKAT PRIMARY SCHOOL,1.34023163951634,103.952080114035
57,ZHENGHUA PRIMARY SCHOOL,ZHENGHUA PRIMARY SCHOOL,1.37954887512233,103.769313521752
58,SOUTH VIEW PRIMARY SCHOOL,SOUTH VIEW PRIMARY SCHOOL,1.38166664389752,103.746275846011
59,PASIR RIS PRIMARY SCHOOL,PASIR RIS PRIMARY SCHOOL,1.37241870245533,103.962807212116
60,CHUA CHU KANG PRIMARY SCHOOL,CHUA CHU KANG PRIMARY SCHOOL,1.3777589009337,103.741832917421
61,GREENRIDGE PRIMARY SCHOOL,GREENRIDGE PRIMARY SCHOOL,1.38588921936923,103.767794469258
62,FARRER PARK PRIMARY SCHOOL,FARRER PARK PRIMARY SCHOOL,1.31236855965766,103.850766169884
63,BUKIT TIMAH PRIMARY SCHOOL,BUKIT TIMAH PRIMARY SCHOOL,1.33751860013149,103.767243310781
64,LAKESIDE PRIMARY SCHOOL,LAKESIDE PRIMARY SCHOOL,1.33820397676916,103.718089546936
65,BEACON PRIMARY SCHOOL,BEACON PRIMARY SCHOOL,1.38394934487102,103.77363194111
66,INNOVA PRIMARY SCHOOL,INNOVA PRIMARY SCHOOL,1.42896700684853,103.790607539185
67,GREENDALE PRIMARY SCHOOL,GREENDALE PRIMARY SCHOOL,1.39648761034483,103.912341048919
68,ENDEAVOUR PRIMARY SCHOOL,ENDEAVOUR PRIMARY SCHOOL,1.45403837499303,103.817436231731
69,NORTH VISTA PRIMARY SCHOOL,NORTH VISTA PRIMARY SCHOOL,1.38282243016301,103.895961877928
70,ANCHOR GREEN PRIMARY SCHOOL,ANCHOR GREEN PRIMARY SCHOOL,1.39037014886962,103.887165375937
71,HORIZON PRIMARY SCHOOL,HORIZON PRIMARY SCHOOL,1.39955003449202,103.913404855665
72,CANTONMENT PRIMARY SCHOOL,CANTONMENT PRIMARY SCHOOL,1.27547252623205,103.839962631748
73,FRONTIER PRIMARY SCHOOL,FRONTIER PRIMARY SCHOOL,1.33641298743236,103.69970173931
74,WESTWOOD PRIMARY SCHOOL,WESTWOOD PRIMARY SCHOOL,1.34718456606377,103.70053420978
75,PUNGGOL GREEN PRIMARY SCHOOL,PUNGGOL GREEN PRIMARY SCHOOL,1.40187220643297,103.898801330302
76,PUNGGOL VIEW PRIMARY SCHOOL,PUNGGOL VIEW PRIMARY SCHOOL,1.40514582647964,103.905156371376
77,SENGKANG GREEN PRIMARY SCHOOL,SENGKANG GREEN PRIMARY SCHOOL,1.39284606680479,103.875217666486
78,SPRINGDALE PRIMARY SCHOOL,SPRINGDALE PRIMARY SCHOOL,1.39467010299297,103.889926221247
