,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
0,NATIONAL JUNIOR COLLEGE,1.33029291072176,103.80411090542499,No,No,No,Yes
1,TEMASEK JUNIOR COLLEGE,1.3184928302783798,103.935567309385,No,No,No,Yes
2,HWA CHONG INSTITUTION,1.32588867455555,103.800747204253,Yes,No,No,Yes
3,BUKIT PANJANG PRIMARY SCHOOL,1.3736217930243897,103.769374904025,No,No,No,No
4,HAIG GIRLS' SCHOOL,1.382108,103.738613,No,No,No,No
5,TECK WHYE PRIMARY SCHOOL,1.38364996834459,103.753291857016,No,No,No,No
6,JURONG PRIMARY SCHOOL,1.3486002031606998,103.733156560251,No,No,No,No
7,QUEENSTOWN PRIMARY SCHOOL,1.29559365009016,103.807548617332,No,No,No,No
8,RADIN MAS PRIMARY SCHOOL,1.2749582362263898,103.824188270373,No,No,No,No
9,RAFFLES GIRLS' PRIMARY SCHOOL,1.32940426000123,103.806442915912,No,No,Yes,No
10,ROSYTH SCHOOL,1.37289067499066,103.875001549174,No,No,Yes,No
11,DAMAI PRIMARY SCHOOL,1.3354610680040802,103.921270169613,No,No,No,No
12,FUHUA PRIMARY SCHOOL,1.33650394789627,103.73610374574801,No,No,No,No
13,WOODLANDS PRIMARY SCHOOL,1.43655108594233,103.79157054650899,No,No,No,No
14,EUNOS PRIMARY SCHOOL,1.32447629876371,103.904541254016,No,No,No,No
15,HENRY PARK PRIMARY SCHOOL,1.31667646178349,103.784296227747,No,No,Yes,No
16,BENDEMEER PRIMARY SCHOOL,1.32181250780476,103.865404167629,No,No,No,No
17,CORPORATION PRIMARY SCHOOL,1.35099779872542,103.70759372461399,No,No,No,No
18,YIO CHU KANG PRIMARY SCHOOL,1.3779326434527799,103.88564368217101,No,No,No,No
19,BLANGAH RISE PRIMARY SCHOOL,1.2761204786929299,103.808628536055,No,No,No,No
20,ANG MO KIO PRIMARY SCHOOL,1.3693217658461,103.839630858752,No,No,No,No
21,MAYFLOWER PRIMARY SCHOOL,1.376255,103.835788,No,No,No,No
22,TECK GHEE PRIMARY SCHOOL,1.36558782075971,103.850957126982,No,No,No,No
23,TEMASEK PRIMARY SCHOOL,1.31770677551335,103.945590669163,No,No,No,No
24,SI LING PRIMARY SCHOOL,1.4324093573252699,103.786035065192,No,No,No,No
25,JING SHAN PRIMARY SCHOOL,1.3722329098350001,103.852132214306,No,No,No,No
26,YISHUN PRIMARY SCHOOL,1.43338602948303,103.834087115915,No,No,No,No
27,STAMFORD PRIMARY SCHOOL,1.3034563846745,103.857453500579,No,No,No,No
28,FERNVALE PRIMARY SCHOOL,1.3903022796379798,103.874445458032,No,No,No,No
29,TOWNSVILLE PRIMARY SCHOOL,1.36003263719251,103.853826048328,No,No,No,No
30,RULANG PRIMARY SCHOOL,1.3467386888909798,103.718457955487,No,No,No,No
31,QIFA PRIMARY SCHOOL,1.3132514789208503,103.756743208641,No,No,No,No
32,ZHANGDE PRIMARY SCHOOL,1.28421153335382,103.825951875662,No,No,No,No
33,TAMPINES PRIMARY SCHOOL,1.34977870805929,103.944004684986,No,No,No,No
34,CHONGZHENG PRIMARY SCHOOL,1.35070739237745,103.951399541868,No,No,No,No
35,XINGHUA PRIMARY SCHOOL,1.3579089360818601,103.890465047334,No,No,No,No
36,JIEMIN PRIMARY SCHOOL,1.42768620385279,103.830427933344,No,No,No,No
37,FUCHUN PRIMARY SCHOOL,1.4304799081012698,103.778192944298,No,No,No,No
38,BUKIT VIEW PRIMARY SCHOOL,1.3458605484203703,103.753665986188,No,No,No,No
39,CEDAR PRIMARY SCHOOL,1.3355884256117099,103.875620790518,No,No,No,No
40,OPERA ESTATE PRIMARY SCHOOL,1.3193191443626002,103.92378825924801,No,No,No,No
41,RIVER VALLEY PRIMARY SCHOOL,1.29422328461692,103.83581516582899,No,No,No,No
42,TELOK KURAU PRIMARY SCHOOL,1.3310458544135,103.91093401133699,No,No,No,No
43,YUMIN PRIMARY SCHOOL,1.35129177656982,103.950461927088,No,No,No,No
44,SHUQUN PRIMARY SCHOOL,1.3476531143163601,103.721523713379,No,No,No,No
45,GAN ENG SENG PRIMARY SCHOOL,1.28559516494963,103.81554741006399,No,No,No,No
46,GONGSHANG PRIMARY SCHOOL,1.35723721033471,103.949116145623,No,No,No,No
47,HUAMIN PRIMARY SCHOOL,1.427953,103.84471500000001,No,No,No,No
48,XISHAN PRIMARY SCHOOL,1.4334718692506598,103.837755319448,No,No,No,No
49,PRINCESS ELIZABETH PRIMARY SCHOOL,1.34920351265302,103.74101964471001,No,No,No,No
50,DAZHONG PRIMARY SCHOOL,1.3591797447277099,103.74847210784,No,No,No,No
51,BEDOK GREEN PRIMARY SCHOOL,1.32344593287994,103.93787897635201,No,No,No,No
52,LIANHUA PRIMARY SCHOOL,1.35424191127296,103.754165828711,No,No,No,No
53,ZHONGHUA PRIMARY SCHOOL,1.3602032970505,103.869762438084,No,No,No,No
54,PEIYING PRIMARY SCHOOL,1.41723339695906,103.83041709069799,No,No,No,No
55,KEMING PRIMARY SCHOOL,1.34552849960877,103.75644939935101,No,No,No,No
56,CHANGKAT PRIMARY SCHOOL,1.34023163951634,103.952080114035,No,No,No,No
57,ZHENGHUA PRIMARY SCHOOL,1.3795488751223302,103.769313521752,No,No,No,No
58,SOUTH VIEW PRIMARY SCHOOL,1.38166664389752,103.746275846011,No,No,No,No
59,PASIR RIS PRIMARY SCHOOL,1.3724187024553303,103.96280721211599,No,No,No,No
60,CHUA CHU KANG PRIMARY SCHOOL,1.3777589009337,103.741832917421,No,No,No,No
61,GREENRIDGE PRIMARY SCHOOL,1.38588921936923,103.767794469258,No,No,No,No
62,FARRER PARK PRIMARY SCHOOL,1.31236855965766,103.850766169884,No,No,No,No
63,BUKIT TIMAH PRIMARY SCHOOL,1.33751860013149,103.767243310781,No,No,No,No
64,LAKESIDE PRIMARY SCHOOL,1.3382039767691598,103.718089546936,No,No,No,No
65,BEACON PRIMARY SCHOOL,1.38394934487102,103.77363194111,No,No,No,No
66,INNOVA PRIMARY SCHOOL,1.42896700684853,103.790607539185,No,No,No,No
67,GREENDALE PRIMARY SCHOOL,1.3964876103448303,103.91234104891899,No,No,No,No
68,ENDEAVOUR PRIMARY SCHOOL,1.4540383749930301,103.817436231731,No,No,No,No
69,NORTH VISTA PRIMARY SCHOOL,1.38282243016301,103.895961877928,No,No,No,No
70,ANCHOR GREEN PRIMARY SCHOOL,1.3903701488696203,103.887165375937,No,No,No,No
71,HORIZON PRIMARY SCHOOL,1.39955003449202,103.913404855665,No,No,No,No
72,CANTONMENT PRIMARY SCHOOL,1.27547252623205,103.83996263174801,No,No,No,No
73,FRONTIER PRIMARY SCHOOL,1.33641298743236,103.69970173931,No,No,No,No
74,WESTWOOD PRIMARY SCHOOL,1.34718456606377,103.70053420978,No,No,No,No
75,PUNGGOL GREEN PRIMARY SCHOOL,1.4018722064329698,103.89880133030199,No,No,No,No
76,PUNGGOL VIEW PRIMARY SCHOOL,1.40514582647964,103.905156371376,No,No,No,No
77,SENGKANG GREEN PRIMARY SCHOOL,1.39284606680479,103.875217666486,No,No,No,No
78,SPRINGDALE PRIMARY SCHOOL,1.39467010299297,103.88992622124701,No,No,No,No
79,PALM VIEW PRIMARY SCHOOL,1.38376923022127,103.891354675017,No,No,No,No
80,RIVERSIDE PRIMARY SCHOOL,1.44704734253722,103.801831963297,No,No,No,No
81,WEST SPRING PRIMARY SCHOOL,1.38944145898946,103.766195711835,No,No,No,No
82,ALEXANDRA PRIMARY SCHOOL,1.29133439161336,103.82442468053101,No,No,No,No
