,supermarket_name,supermarket_latitude,supermarket_longitude
0,LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,1.40230300615945,103.901262393433
1,SHENG SIONG SUPERMARKET PTE LTD,1.31423937057047,103.870914035563
2,COLD STORAGE SINGAPORE (1983) PTE LTD,1.3733212172841,103.886365538231
3,COLD STORAGE SINGAPORE (1983) PTE LTD,1.33295872723089,103.914941831132
4,YES SUPERMARKET PTE LTD,1.35345315592225,103.953009921086
5,SUZYAMEER FROZEN PTE. LTD.,1.35226231253931,103.95358649775
6,G8 MART PTE. LTD.,1.36538421638439,103.852966963093
7,SHENG SIONG SUPERMARKET PTE LTD,1.36754924783084,103.83674063794
8,PRIME SUPERMARKET (1996) PTE LTD,1.35370296933733,103.890680794853
9,TAN KWEE ENG,1.43007109706807,103.842396448241
10,SHENG SIONG SUPERMARKET PTE LTD,1.3701886043625,103.843413241014
11,KAI SOON SUPERMARKET PTE. LTD.,1.42213865028433,103.832882666076
12,COLD STORAGE SINGAPORE (1983) PTE LTD,1.32325040085144,103.767260053848
13,THE FISHWIVES PTE. LTD.,1.32257317593847,103.814245545298
14,PRIME SUPERMARKET LIMITED,1.33429241375195,103.87874621482
15,ABEDIN TRADING PTE. LTD.,1.31420654866153,103.886699759329
16,COLD STORAGE SINGAPORE (1983) PTE LTD,1.30222178109552,103.876152670397
17,COLD STORAGE SINGAPORE (1983) PTE LTD,1.32021101601675,103.843656771807
18,SONG FISH DEALER PTE LTD,1.37834971351323,103.762741183479
19,THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,1.43991607901426,103.800701205041
20,SHENG SIONG SUPERMARKET PTE LTD,1.30778510070706,103.857010987509
21,COLD STORAGE SINGAPORE (1983) PTE LTD,1.30484344487426,103.823852799187
22,BLUEWATER SEAFOOD PTE. LTD.,1.30344597442988,103.80938167216
23,WONS BUTCHERY PTE. LTD.,1.30570970646179,103.824463823195
24,LITTLE FARMS PTE. LTD.,1.31064350283582,103.795246166645
25,B & S MINI MART PTE. LTD.,1.31245104539871,103.87962231543
26,"CHEE MIN KUAN, SIMON",1.30373373435466,103.896498243508
27,JSJ CORPORATION PTE. LTD.,1.31845201086353,103.985869406123
28,U STARS PTE. LTD.,1.37860238037503,103.941978177656
29,LOTTE MART PTE. LTD.,1.34082661486743,103.774213263461
30,AJMAL TRADING GROUP PTE. LTD.,1.32210836314021,103.727480745718
31,MURUGAN TRADERS PTE LTD,1.32491980413317,103.705099705855
32,SHENG SIONG SUPERMARKET PTE LTD,1.35572307607651,103.739303106346
33,SHENG SIONG SUPERMARKET PTE LTD,1.44680413155135,103.80548757912
34,AJMAL TRADING GROUP PTE. LTD.,1.46152554782754,103.809438952915
35,SHENG SIONG SUPERMARKET PTE LTD,1.42015550315781,103.843558892177
36,PHAN NEE TRADING LLP,1.4443412952404,103.839030200378
37,HAO MART PTE. LTD.,1.39990420413757,103.919352755684
38,THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,1.40287845138627,103.913195747038
39,COLD STORAGE SINGAPORE (1983) PTE LTD,1.37264569542777,103.853890711284
40,PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,1.27458822422728,103.843470740865
41,COLD STORAGE SINGAPORE (1983) PTE LTD,1.30982227398559,103.902232496984
42,SHENG SIONG SUPERMARKET PTE LTD,1.40262196510476,103.916519601442
43,VIVA CORP SERVICES PTE. LTD.,1.33733862368542,103.903735085122
44,SWISS BUTCHERY (2013) PRIVATE LIMITED,1.33176109907579,103.806586886276
45,ROSWELL ENTERPRISE PTE LTD,1.33183240808538,103.806492419384
