,HERE_address,Latitude,Longitude,schs_1km,schs_2km,sap_sch_1km,sap_sch_2km,autonomous_sch_1km,autonomous_sch_2km,gifted_sch_1km,gifted_sch_2km,ip_sch_1km,ip_sch_2km,hawker_1km,hawker_2km,supermarket_1km,supermarket_2km
0,174 ANG MO KIO AVE 4 Singapore,1.37541,103.8374,6,14,1,2,1,2,0,0,1,1,5,8,4,10
13,541 ANG MO KIO AVE 10 Singapore,1.37412,103.85576,3,11,0,0,1,1,0,0,0,0,2,10,4,15
24,163 ANG MO KIO AVE 4 Singapore,1.37387,103.83834,6,14,1,2,1,2,0,0,1,1,5,8,5,12
33,446 ANG MO KIO AVE 10 Singapore,1.36794,103.85543,5,14,0,1,1,2,0,1,0,1,4,10,5,15
35,557 ANG MO KIO AVE 10 Singapore,1.37145,103.85785,3,12,0,0,1,1,0,1,0,0,2,7,4,14
54,603 ANG MO KIO AVE 5 Singapore,1.3804,103.8356,5,10,1,1,1,2,0,0,1,1,2,6,1,8
68,709 ANG MO KIO AVE 8 Singapore,1.37098,103.84766,7,17,0,3,1,3,0,1,0,2,4,9,9,14
70,333 ANG MO KIO AVE 1 Singapore,1.36179,103.85214,3,16,0,1,0,2,0,1,0,1,3,9,4,18
86,109 ANG MO KIO AVE 4 Singapore,1.3702,103.83819,7,16,1,3,1,3,0,1,1,2,4,8,6,14
107,564 ANG MO KIO AVE 3 Singapore,1.37044,103.8595,3,11,0,0,1,1,0,1,0,0,3,7,5,13
130,218 ANG MO KIO AVE 1 Singapore,1.36535,103.84169,3,16,0,3,0,3,0,1,0,2,4,11,8,18
146,556 ANG MO KIO AVE 10 Singapore,1.37228,103.85757,3,13,0,0,1,1,0,1,0,0,2,7,4,14
165,156 ANG MO KIO AVE 4 Singapore,1.37548,103.84057,8,14,1,2,1,2,0,0,1,1,5,9,5,13
184,471 ANG MO KIO AVE 10 Singapore,1.36344,103.85749,4,15,0,1,0,2,0,1,0,1,2,8,3,19
203,434 ANG MO KIO AVE 10 Singapore,1.36803,103.85388,5,15,0,1,1,2,0,1,0,1,5,10,6,14
